Nom,Commentaire,Secteur d'activité,Localisation,Nombre de postes,Url postes
Akoya,"Bienvenue chez Smartrenting 🏠​
Nous sommes la première agence immo conçue pour voyager sans payer son loyer.
Découvre notre histoire dans cette vidéo !
🎯 L'objectif ?
Permettre à tous de pouvoir réaliser ses projets sans avoir de contrainte de logement. Plus besoin de rendre son appart' ou payer un loyer dans le vide pendant ses déplacements pro, stages, échanges universitaires…
💰🔑 Nous garantissons le paiement de l'intégralité du loyer et nous nous occupons de toute la gestion du logement, de manière gratuite, légale et assurée. L'appartement est ensuite sous-loué sur les plateformes de location courte durée comme Airbnb ou Booking pour accueillir des professionnels et des touristes.
Nous possédons un statut d'agence immobilière, nous permettant de proposer une expertise légale et immobilière : un argument rassurant et essentiel au développement de ce concept depuis maintenant 6 ans.
💪 Avec l'impact du COVID sur le tourisme et l'hôtellerie, Smartrenting s'est relancé fin mars 2022. Et comme on voit toujours des opportunités plus que des contraintes, on fait face à une 2e vie pour Smartrenting : une renaissance.
Nous te proposons d'intégrer une belle équipe qui va grandir de façon exponentielle avec pour objectif de retrouver le plus rapidement possible nos KPI de début 2020 : 9 villes ouvertes en 3 ans, plus de 80 employés, 300% de croissance chaque année, 2 levées de fonds, 5000+ appartements gérés ! ✨","Immobilier particulier, Tourisme, Économie collaborative",Paris,6 offres,/fr/companies/akoya/jobs
Popee,"🌍 Notre mission : rendre l'échographie clinique accessible à tous les professionnels de santé dans le monde.
🧑‍⚕️ echOpen développe et fabrique une sonde d’échographie clinique polyvalente, accessible et made in France.
🩺 Connectée à n’importe quel smartphone, elle permet de voir l'intérieur du corps en plus de l'inspection classique, et devient aussi indispensable que le stéthoscope.
🧠 Des fonctionnalités IA seront aussi bientôt disponibles !","Application mobile, Intelligence artificielle / Machine Learning, Santé",Paris,Candidatures spontanées !,/fr/companies/popee-1/jobs
Opco des Entreprises de Proximité (Opco EP),"Elynxo est spécialisée dans la conception, la fabrication et la maintenance d'équipements et de sous-ensembles optroniques pour les secteurs de la défense, de la sécurité et de l'industrie.
Dotée d'une expertise industrielle complète, Elynxo maîtrise l'ensemble du cycle de vie de ses produits, avec des capacités d'usinage de précision et d'assemblage mécanique et optronique complexes. L'entreprise se distingue par son haut niveau d'expertise en technologies avancées, des compétences industrielles uniques et une forte culture de l’innovation. 
Ces dernières années, le groupe Elynxo a eu l'occasion de se déployer sur de nouveaux marchés lui permettant d'enregistrer une croissance continue. Le groupe peut s'appuyer sur l'expertise et le savoir-faire reconnus de femmes et hommes passionnés par l'innovation.
Rejoindre Elynxo, c’est travailler sur des projets innovants, d’envergure et acquérir une expérience unique aux côtés d’experts.","Aéronautique / Spatiale, Electronique / Télécommunications, Ingénieries Spécialisées",Les Ulis,14 offres,/fr/companies/opco-des-entreprises-de-proximite/jobs
SATO,"Vous souhaitez intégrer une banque vraiment différente des autres ?
La CASDEN Banque Populaire est LA banque coopérative de toute la Fonction publique.
Nous proposons à nos Sociétaires une offre d’épargne, de crédits et de caution en nous appuyant sur des valeurs de coopération, de solidarité, d’équité, de confiance et de proximité.
Outre nos activités bancaires, nous menons une politique d'engagement sociétal forte, notamment dans l'éducation, la recherche, la culture, la santé, et l'économie sociale et solidaire.
Notre appartenance au Groupe BPCE - 2ème Groupe bancaire français - Partenaire Premium des Jeux Olympiques et Paralympiques de Paris 2024, vous permettra de construire votre carrière dans un univers varié aux multiples métiers et de relever de nombreux défis.
Au quotidien, nous encourageons l'autonomie, la co-construction, la culture de l'innovation et donnons du sens à la mission de nos collaborateurs.
Notre modèle vous attire, alors rejoignez l’aventure !","Assurance, Banque",Champs-Sur-Marne,Candidatures spontanées !,/fr/companies/sato/jobs
Orrick,"Nos équipes pluridisciplinaires se concentrent sur les secteurs suivants: 

Technologie
Energie & Infrastructure
Finance

Orrick représente des multinationales, des sociétés à capital-risque de premier plan, des fonds d’infrastructures et des institutions financières.
En collaboration avec notre réseau, nous apportons des conseils innovants et d’excellence, sur les transactions, les litiges et les questions réglementaires qui façonnent l’économie française et stimulent les investissements internationaux.","Justice, Service juridique",Paris,Candidatures spontanées !,/fr/companies/orrick/jobs
Picard Surgelés,"Le Groupe La centrale est le groupe spécialiste des marketplaces auto (La centrale, Promoneuve et Le Rachat Express) et du contenu éditorial (Caradisiac et Forum Auto).
Notre mission est simple : améliorer l’expérience d’achat et de vente pour les consommateurs comme les distributeurs automobiles.
Avec près de 40 millions de visites par mois, nous sommes le partenaire privilégié pour simplifier l’achat et la vente de près d’un million de véhicules. Le site est devenu également la référence de la cotation pour les particuliers avec 30 millions de cotes par an
Le Rachat Express, permet l’estimation en temps réel et le rachat de véhicules en direct et sans délai pour les particuliers et a généré plus de 250 millions d’euros de transactions en 2022.
Caradisiac est le site référent de l’information automobile.
Dans un contexte d’accélération et de transformation, le Groupe La centrale souhaite créer un nouveau chapitre de son histoire en capitalisant sur sa marque et son audience.
Nous sommes aujourd’hui plus de 200 collaborateurs qui participent à l’évolution de notre entreprise en générant un chiffre d’affaires de 80 millions d’euros.","Média, Économie collaborative","Paris, Melun, Province, Versailles",73 offres,/fr/companies/picard-surgeles/jobs
Loft Orbital,"Kocoya ThinkLab est une association engagée dans l'éducation à la citoyenneté numérique et la lutte contre l'illettrisme numérique.
Kocoya, c'est l'histoire de près de 9000 personnes accompagnées en 2022 par le biais d'ateliers et de conférences qui transcendent les générations.
Ses publics, divers et variés, comprennent des seniors, des parents, des enfants et des chercheurs d'emploi. Son influence s'étend désormais sur quatre régions de France.
Sa collaboration fructueuse avec plus de 190 partenaires, dont le Ministère de l'Éducation Nationale, Pôle Emploi et les collectivités territoriales, renforce son engagement envers un avenir numérique éthique et responsable.
Son équipe est composée d’une communauté de plus de quarante personnes qui travaillent avec bienveillance pour avoir un impact positif sur la société.",Association,Paris,24 offres,/fr/companies/loft-orbital/jobs
Karbonpath,"FERCHAU est une société de conseil en ingénierie et en IT dont l'entité française, spécialisée sur les industries de l'aéronautique, du spatial et de la défense, est reconnue par les principaux grands acteurs du secteur en tant que fournisseur de premier rang.
FERCHAU France offre le meilleur de l'ingénierie et des solutions d'avenir : grâce à un savoir-faire industriel de longue date, des méthodes et technologies de pointe, et des processus de haute qualité, FERCHAU fournit des solutions intelligentes. Avionique, sous-systèmes embarqués, cybersécurité, conception mécanique ou systèmes de tests en vol : FERCHAU est capable de prendre en charge des projets de développement complexes de bout en bout.","Aéronautique / Spatiale, IT / Digital, Ingénieries Spécialisées","Toulouse, Marseille, Paris",3 offres,/fr/companies/karbonpath/jobs
GROUPE INTER INVEST,"Médiane est une agence événementielle qui a plus de 32 ans d'expertise.
Basée à Toulouse, c'est une agence à taille humaine composée d’une équipe de 22 collaborateurs.
Elle propose un accompagnement global à ses clients corporates et institutionnels dans l’organisation de leurs événements.
Son ambition : faire vivre des expériences audacieuses qui font bouger les lignes, qui laissent une empreinte durable et positive.
Son équipe intervient tant en France qu'à l'international pour servir une clientèle diversifiée, allant des petites entreprises aux grands groupes, tous secteurs confondus. Quelques références : Pierre Fabre, Banque Populaire, McDonald's, Crédit Agricole, Airbus, Alten, CJD, Eucerin...
Depuis 2022, l'agence a également créé Become au sein du groupe Médiane, un cabinet de coaching et d’accompagnement qui vient compléter sa capacité à produire des expériences porteuses de sens pour ses clients.","Accompagnement d'entreprises, Evénementiel",Toulouse,3 offres,/fr/companies/inter-invest-fr/jobs
SNOW Group,"Batch est la Customer Engagement Platform de nouvelle génération qui aide les marques et les médias à développer des relations fortes avec leurs clients via Email, SMS, Push & Messages In-App.
Batch équipe les Directions CRM modernes qui veulent des outils temps-réel et connectés :

Luxe : Louis Vuitton, Séphora, Cartier, Printemps.
Retail & marketplaces : Leboncoin, FNAC-Darty, La Redoute.
Grande distribution : E.Leclerc, Intermarché, Casino, LIDL.
Banques & assurances : Société Générale, BNP, AXA, Banque Postale.
Médias : Le Monde, Les Echos, Le Parisien, Eurosport.
Mobilité : SNCF Connect, RATP, Cityscoot.

En chiffres c'est :

90 collaborateurs,
3 pays (FR, UK, DACH),
4ème au classement HappyIndex®AtWork 2023,
11M€ d'ARR,
350 clients,
650 milliards de messages envoyés / an,
Une levée de fonds de 20M€ en 2021.

La confiance est au coeur de la culture chez Batch. Elle s'incarne par la transparence stratégique et financière, et dans le soin particulier donné à l'accompagnement des individus : formations, coaching, évaluation continue de la performance, feedbacks 360°, parcours de carrière ambitieux en management comme en contribution individuelle.","AdTech  / MarTech, Application mobile, SaaS / Cloud Services","Paris, Lyon",2 offres,/fr/companies/snow-group/jobs
Neo2,"NEO2 Digital est une entité du Groupe NEO2 spécialisée dans le conseil en IT pour l’industrie 5.0.
Elle aide ses clients à renforcer leur transformation digitale par une collaboration plus significative et plus efficace entre les humains, les machines et systèmes, au sein de leur écosystème numérique.
Bien plus qu’une équipe, c’est une tribu à l’écoute et flexible, pensée comme une start-up à part entière.
Elle intervient partout en France via ses 7 agences. Cette implantation lui garantit une forte proximité avec ses équipes de consultants ainsi qu’un meilleur accompagnement de ses clients.",IT / Digital,Levallois-Perret,5 offres,/fr/companies/neo2/jobs
moka.care,"Cours Legendre est un acteur majeur du soutien scolaire depuis 1957 avec pour mission forte, l'épanouissement scolaire de chaque enfant.
Partenaire des meilleurs établissements scolaires, éditeur de manuels parascolaires, disposant elle-même d'un statut d'école, Cours Legendre est le seul acteur du secteur à mettre au service des familles et des élèves une approche complète de l'accompagnement scolaire.
Côté familles, Cours Legendre propose:

cours particuliers à domicile ou en visioconférence
stages intensifs de révision
cahiers de vacances et manuels parascolaires

Entreprise à taille humaine, encourageant la prise d'initiative individuelle dans un collectif fort et porteur, Cours Legendre renforce ses équipes. En s'appuyant sur un savoir-faire pédagogique éprouvé, une communauté fidèle et engagée de plus de 3000 enseignants et des outils digitaux performants, Cours Legendre ambitionne de redevenir la référence n°1 d'un soutien scolaire d'excellence !","EdTech, Education, Formation",Paris,2 offres,/fr/companies/moka-care/jobs
En Voiture Simone,"Rejoindre Sarbacane c'est rejoindre une entreprise spécialisée dans l’édition de solutions de marketing direct en SaaS (email, SMS, automation et chat) et dans l’accompagnement stratégique. Notre objectif est d’assurer la réussite de nos clients dans leurs campagnes de communication en leur apportant conseils, expertises et solutions novatrices.
La tribu Sarbacane est composée d'une centaine de personnes à Hem, près de Lille. A votre arrivée, vous rencontrez des personnes issues de parcours et d'univers différents, et, grâce à votre curiosité, vous développez vos connaissances du marketing digital à leurs côtés.
Si vous partagez nos valeurs d'esprit d'équipe, d'innovation et d'ambition, vous êtes au bon endroit. Venez nous rencontrer et développer vos compétences en même temps que notre entreprise!",Logiciels,"Hem, Barcelona, Lille, Paris",13 offres,/fr/companies/en-voiture-simone/jobs
Banque Populaire Auvergne Rhône Alpes,"Embarquez dans l’univers des logiciels avec le groupe Sogelink, pionnier de la transformation digitale dans le secteur de la construction et des infrastructures depuis près de 25 ans.
Intégrer Sogelink, c’est rejoindre une aventure humaine forte, guidée par le goût du challenge et le plaisir de travailler en équipe.
C’est aussi rejoindre des équipes motivées et proactives dans une ambiance de travail particulièrement stimulante.
En tant qu’éditeur de logiciels, le groupe Sogelink, c’est :

13 offres logicielles couvrant toute la chaîne de valeur de la construction
18 000 clients
220 000 utilisateurs
650 collaborateurs
Plus de 137 millions d'€ de CA
9 bureaux en France
2 filiales, Pays-bas et Norvège et 3 agences à l’international
Des valeurs fortes : Audace, Inclusion et Engagement

Alors prêt.e à rejoindre l'aventure ? 🚀","Bâtiment / Travaux publics, Logiciels, SaaS / Cloud Services","Caluire-Et-Cuire, Angers, Bois-Guillaume, Brest, La Crau, Launaguet, Orvault",25 offres,/fr/companies/banque-populaire-auvergne-rhone-alpes/jobs
Footbar,"Chez moka.care, ils réinventent la façon de voir la santé mentale en entreprise.

Ils guident les employés à travers des thérapies individuelles et de groupe ou des sessions de coaching.
Parallèlement, ils aident les équipes RH à prendre soin de la santé mentale de leurs employés au quotidien.

Depuis fin 2019, plus de 300 entreprises, dont L'Oréal, Spendesk et Engie, ont rejoint moka.care, bénéficiant à plus de 40 000 collaborateurs dans le monde entier. Ils ont levé 17,5 millions d'euros auprès d'investisseurs et de business angels de premier rang.
L'excellence in care est leur obsession.
Ils ont défini 4 valeurs tangibles pour faire vivre cette culture :
L’empathie comme fondement, Un optimisme insatiable, Une Responsabilité partagée, Une grande agilité.","Accompagnement d'entreprises, SaaS / Cloud Services, Santé",Paris,1 offre,/fr/companies/footbar/jobs
Komet France,"Komet France est une entreprise familiale franco-allemande qui est en plein développement !
Elle réunit plus de 113 collaborateurs sur le territoire français. Nous agrandissons aujourd’hui l’équipe pour créer et développer une offre innovante, dédiée à améliorer le bien-être au travail.
Komet France est leader sur le marché du dentaire et du médical. Nous recrutons et formons nos collaborateurs afin de répondre au mieux aux exigences des clients qui sont des professionnels de la santé. Les valeurs de l’entreprise sont l’expertise (compétences reconnues sur le marché du dentaire), l’innovation (les nouvelles idées et les propositions sont valorisées) et la conquête (permettant le développement de la structure).",Santé,Paris,5 offres,/fr/companies/komet-france/jobs
Nfinite,"Alerteo accompagne ses clients et partenaires vers l’efficience énergétique en facilitant l’accès aux données des bâtiments, tout en garantissant le confort des usagers.
Son organisation humaine s’adapte aux contextes et lui permet de répondre durablement aux enjeux environnementaux et règlementaires de ses clients.","Energie, Environnement / Développement durable, Objets connectés",Villeneuve-D'ascq,4 offres,/fr/companies/nfinite/jobs
implid,"Adeunis, acteur majeur de l’IoT, crée des solutions sans fil pour les Bâtiments Connectés et Intelligents (Smart Buildings).
Qualifiée « Entreprise Innovante » par Bpifrance, Adeunis investit près de 30% de ses ressources en R&D et innovation.
Notre mission ?
🚀Accompagner nos clients à la digitalisation de leurs bâtiments pour :
🌍 plus d'économies d'énergie
🙂 une meilleure qualité de vie
Notre terrain de jeu ?
🕹Fort d'une approche technologique reconnue depuis près de 20 ans, avec plusieurs millions de produits mis sur le marché, Adeunis est présente en France, en Europe et dans plusieurs zones du monde.",Objets connectés,Crolles,68 offres,/fr/companies/implid-1/jobs
Babilou,"Le constat : La majorité des agences se positionnent en simples exécutants alors qu'elles devraient adopter une posture d'associés.
La mission : Débloquer le potentiel des entrepreneurs grâce à la technologie.
Sauf que cela demande d'être capable de parler business et de gérer les relations humaines : de comprendre les utilisateurs finaux, les collaborateurs et les entrepreneurs...
Pour y arriver, Drakkar a développé, au fil des années, une méthodologie unique centrée sur l'humain.
Aujourd'hui, Drakkar se décompose en 2 offres :

Product studio : Drakkar aide les startups à atteindre rapidement leur marché. En travaillant avec des clients prestigieux, Drakkar a créé des applications web et mobiles innovantes (SAAS et Marketplace B2B et B2C).
Accélérateur de PME : Drakkar optimise les processus des entreprises pour que les salariés puissent se concentrer sur ce qu'ils aiment et ce pour quoi ils sont doués.
","Accompagnement d'entreprises, Application mobile, IT / Digital, Intelligence artificielle / Machine Learning, Logiciels, Organisation / Management, SaaS / Cloud Services",Nantes,21 offres,/fr/companies/babilou/jobs
Figaro Classifieds,"Nfinite est une plateforme SaaS de e-merchandising, permettant de créer des visuels à partir d’une modélisation produit en 3D.
Depuis sa création en 2017, Nfinite accompagne les acteurs du retail dans la valorisation et la mise en situation de leurs produits, en particulier sur les sites de e-commerce. Sa solution clé en main permet de créer des visuels illimités à partir d’une modélisation en 3D. Les entreprises clientes réduisent ainsi leurs coûts et le temps de mise sur le marché, avec un impact environnemental réduit.
Grâce à une capacité de production visuelle illimitée, les entreprises peuvent proposer des combinaisons visuelles infinies, des expériences interactives et du contenu personnalisé en temps réel.","AdTech  / MarTech, SaaS / Cloud Services","Bordeaux, Paris",10 offres,/fr/companies/figaro-classifieds/jobs
Batis.io,"Réseau de franchise Cave-Bar avec plus de 265 magasins en France, des bars d'ambiance, des vignobles, une brasserie, du e-commerce, du digital, de la data, une supply chain intégrée, une école de formation, une société de transport, un atelier de menuiserie, des consignes, un festival d'envergure nationale... V and B, c'est un écosystème complet et bouillonnant en perpétuelle évolution, à l'image de ses fondateurs, deux serials entrepreneurs insatiables qui ont su rester simples et accessibles.","Boissons, Distribution sélective, E-commerce",Château-Gontier-Sur-Mayenne,3 offres,/fr/companies/batis-io/jobs
Mondassur EuropUSA,"WEENEO est une société de conseil spécialisée dans les métiers du numérique et de l'industrie. 💻 🔧
Elle propose une expertise dans trois domaines :

L'informatique : logiciels, systèmes et réseaux, data, cloud, projet...
La R&D : systèmes embarqués, mécatronique...
L'ingénierie : mécanique, électricité...

Créée en 2018, l'entreprise compte une centaine de collaborateurs répartis dans 7 agences, en France et à l'international : 

Marseille
Toulouse
Montpellier
Paris 
Lyon 
Casablanca
Montréal  
","Bureau d'études et d'ingénierie, IT / Digital, Logiciels","Marseille, Casablanca, Labège, Lyon, Montréal, Paris",3 offres,/fr/companies/europusa-mondassur-fr/jobs
YouScribe,"YouScribe est la bibliothèque numérique n°1 d'Europe et d'Afrique !
La mission de YouScribe est simple mais audacieuse : démocratiser l'accès à la culture et à la l'éducation. Regorgeant de plus d’1 million de titres allant de la littérature classique aux ressources professionnelles, en passant par la presse, les livres audio et les podcasts, YouScribe répond aux besoins de tous les lecteurs. 
Disponible dans plus d'un dizaine de pays et avec plus de 1,3 millions d'abonnés, principalement sur le continent africain, la bibliothèque YouScribe poursuit son ambition pour que chaque mobile puisse devenir une bibliothèque de poche.","Application mobile, EdTech, Edition",Paris,4 offres,/fr/companies/youscribe/jobs
NORMAN K,"TRAINSWEATEAT est une super-app de sport en ligne ainsi qu’une marque de vêtements et nutrition. Sa mission est de donner le pouvoir d’être la meilleure version de soi même.
Chez TRAINSWEATEAT, nous pensons que chacun a les capacités de libérer son potentiel en repoussant les limites.
Nous proposons aux sportifs débutants comme aguerris de faire du sport sans contraintes via nos programmes de vidéos en ligne dispensés par notre team de coach pro.
Nous cherchons à garder la meilleure application fitness du marché français grâce à de l’innovation constante pour proposer du nouveau contenu, des nouvelles fonctionnalités et une expérience utilisateur personnalisée.
Avec TRAINSWEATEAT, entraîne toi quand tu veux, où tu veux, sur n'importe quel support. Choisis tes objectifs, fixe tes propres règles et relève le défi.","Application mobile, E-commerce, Sport",Biot,Candidatures spontanées !,/fr/companies/norman-k/jobs
Cuisinez pour bébé,"Hestiia est une startup nantaise, spécialiste des solutions de chauffages innovantes, économiques et durables. Elle souhaite bousculer les codes du secteur vieillissant du chauffage et permettre une évolution de nos habitudes vers une manière de vie plus durable. 🍃
Pour cela, elle conçoit des produits innovants, durables et accessibles du grand public qui contribuent au pouvoir d’achat des foyers et permettent d'accélérer la transition énergétique. 🚀
Hestiia lance cette année MyEko, le radiateur connecté permettant de chauffer de façon économique et durable son habitat. ","Blockchain, Energie, Objets connectés",Nantes,2 offres,/fr/companies/cuisinez-pour-bebe/jobs
Citadia,"Sur tous les océans et toutes les mers du monde, 365 jours par an et 24 heures sur 24, la Marine nationale assure la sécurité et la protection de l’espace maritime français. En mer, sur terre et dans les airs, ses 39 000 marins accomplissent chaque jour des missions de renseignement, de prévention, d’intervention, de protection et de dissuasion. Des femmes et des hommes unis dans l’action, déterminés à protéger les français et défendre les intérêts de la France.","Aéronautique / Spatiale, Cybersécurité, Electronique / Télécommunications, Energie, Métallurgie, Restauration","Cherbourg-En-Cotentin, Brest, Toulon",27 offres,/fr/companies/citadia/jobs
Makina Corpus,"💡 Fondée en 2021 par Brice Monvoisin, Olivier Liot, Mathieu Mercati et Jean-Philippe Petit, Norman K. est une société de gestion de fortune qui se présente comme une plateforme de solutions financières proposant 3 types de services : le financement, l’investissement et le corporate advisory.
📈 La mission Norman K. :
Unique par son approche divergente axée sur des services offrant une solution durable, holistique et digitale, les fondateurs de Norman K. ont décidé de créer une structure différenciante tel un « one stop shop » pour des clients cherchant plus de simplicité et de transparence dans la gestion de leur fortune globale.","Assurance, Banque, Finance","Paris, Nice",8 offres,/fr/companies/makina-corpus/jobs
CANAL+ Group,"Le Groupe ADP conçoit, aménage et gère des aéroports à Paris et dans le monde entier. Présent dans 50 pays et dans près de 150 aéroports, nous employons plus de 24 000 collaborateurs dans des métiers aussi divers que ses activités :  maintenance, data analyse, immobilier, cybersécurité, ingénierie, finances, exploitation, innovation, environnement RSE, …
Rejoindre le Groupe ADP, c'est prendre part à l'histoire des pionniers de l'aviation et l'opportunité unique de bâtir avec nous l'aéroport de demain. C'est aussi porter les valeurs de l'hospitalité et proposer à nos clients une expérience sur mesure.
Le Groupe ADP s'engage également pour plus d'équité en entreprise :  parité, mixité, diversité, emploi de personnes en situation de handicap, encouragement à l'engagement citoyen, …
Intégrer le Groupe ADP, c'est :

rejoindre l'un des leaders mondiaux de l'aéroportuaire
partager des enjeux d'innovation et d'environnement
évoluer dans un secteur international
travailler sur des projets uniques
s'épanouir dans l'univers passionnant de l'aéroportuaire.
","Architecture, Aéronautique / Spatiale, Logistique",Tremblay-En-France,105 offres,/fr/companies/canal-group/jobs
InterCloud,"Dernier Cri est une Product Factory qui a pour mission de prendre part aux enjeux sociétaux en réalisant des produits digitaux utiles à tous et à impact positif.
Nos clients sont aussi bien de grands comptes comme NQT, Auchan ou Monoprix, que des start-ups ayant déjà levé plusieurs millions d’euros comme Regate, Omie & Cie et Cosmo Connected.
Nous avons la volonté d'attirer et de fidéliser les meilleurs talents à travers une politique RH centrée sur une expérience collaborateurs ""Dernier Cri"".","Application mobile, IT / Digital","Paris, Barcelone, Bordeaux, Lille, Lyon, Marseille, Nantes",Candidatures spontanées !,/fr/companies/intercloud/jobs
Capgemini,"Nous sommes un leader mondial, partenaire des plus grandes entreprises et organisations à l’international et accompagnons leur transformation. Avec plus de 360 000 experts dans plus de 50 pays, nous sommes tous animés par une passion commune : libérer l’énergie humaine grâce à la technologie.
Nous tirons parti des domaines en perpétuelle évolution du cloud, de la data, de l’Intelligence Artificielle, de la connectivité, des logiciels, de l’ingénierie digitale et des plateformes. Notre mission est de libérer la valeur de la technologie pour nos clients, notre planète et notre société pour un avenir plus inclusif et durable.
Get The Future You Want*
*Capgemini, le futur que vous voulez","IT / Digital, Organisation / Management, Stratégie, Transformation",Issy-Les-Moulineaux,493 offres,/fr/companies/capgemini/jobs
APM,"Siel Bleu est une association à but non-lucratif, qui donne la possibilité à chacun, quelles que soient ses capacités, son lieu de vie et sa situation financière, d’améliorer sa santé et son bien-être tout au long de sa Vie.
L’activité physique, la sensibilisation à une meilleure alimentation et au comportement éco-responsable sont les principaux outils de cet accompagnement, créateur de lien social. Siel Bleu donne la possibilité à chaque personne de participer à ces activités en fonction de ses envies et de ses besoins. La bienveillance, le professionnalisme et l’engagement sont au cœur de l’action de chaque Sielbleusien. ","Association, Services à la personne","Agen, Albertville, Albi, Alençon, Amiens, Angers, Annecy, Antibes, Arras, Auch, Auxerre, Bayonne, Besançon, Bordeaux, Bourg-En-Bresse, Bourges, Brest, Brienne-Le-Château, Brive-La-Gaillarde, Caen, Chantilly, Charleville-Mézières, Chartres, Cholet, Châlons-En-Champagne, Châteauroux, Colmar, Créteil, Dijon, Dole, Foix, Fontainebleau, Gap, Grenoble, Haguenau, La Roche-Sur-Foron, La Roche-Sur-Yon, La Rochelle, Le Mans, Le Puy-En-Velay, Lille, Limoges, Livron-Sur-Drôme, Lyon, Mantes-La-Jolie, Villers-Bocage, Épernay, Épinal, Évreux",4 offres,/fr/companies/apm/jobs
L'Ecole Française,"Producteur d'événements B to B, agitateur d'écosystèmes... Republik connecte les grands dirigeants français avec les prestataires de chaque écosystème concerné !
Chaque année, nous produisons et organisons 140 événements propriétaires, sur 4 formats d'événements + 1 média, dans 10 écosystèmes : Retail, Achats, IT, Cybersécurité, Workplace, Immobilier, Sécurité, Supply Chain, Data, Event, avec de nouveaux projets chaque jour.
Notre ambition : rassembler les meilleurs, attirer les leaders, surprendre, libérer la parole, favoriser l’expression de besoins, casser les silos, développer l’intelligence collective… pour créer du lien et des relations durables entre fournisseurs et donneurs d’ordres.
Nos valeurs : Créativité, Efficacité, Convivialité.","Marketing / Communication, Média, Publicité, Télévision / Production audiovisuelle",Suresnes,9 offres,/fr/companies/l-ecole-francaise/jobs
Ornikar,"Panier des Sens est une entreprise spécialisée dans les produits cosmétiques naturels en pleine croissance. Depuis notre création en 2001 à Marseille, nous puisons notre inspiration dans les ingrédients et le savoir-faire méditerranéens pour développer des produits simples, authentiques et respectueux de l'environnement.
Notre mission est de proposer des produits de haute qualité, alliant le meilleur de notre région à une approche écoresponsable. Nous sommes fiers de collaborer avec des producteurs et fournisseurs locaux, en privilégiant des partenariats durables.
Avec un siège à Marseille, des bureaux commerciaux à Miami (USA) et une filiale au Canada, nous avons une présence internationale bien établie. Nous continuons à développer notre réseau de filiales à travers le monde pour renforcer notre expansion à l'échelle mondiale.","Cosmétique, E-commerce","Marseille, Paris",20 offres,/fr/companies/ornikar/jobs
Réjeanne,"L' Apm est une association d'entrepreneurs créée en 1987 par Pierre Bellon.
La volonté d'agir, de mener des actions positives et qui ont du sens, porte les entrepreneurs qui souhaitent faire progresser leur entreprise et la société.
Le progrès de l'entreprise par le progrès du dirigeant.
L' Apm, c'est 8 500 adhérents, répartis dans 417 clubs, dans 35 pays.
Les dirigeants se rencontrent une fois par mois pour explorer, se challenger et repartir avec de nouvelles idées à mettre en pratique. Ils reçoivent les experts les plus pointus dans leurs domaine respectifs.
Gouvernée par un Conseil d’administration d’une vingtaine de membres, l’association est animée par les 47 salariés de la Maison Apm à Paris.","Accompagnement d'entreprises, Association, Formation",Paris,2 offres,/fr/companies/aw-innovation-rejeanne/jobs
Startway,"PourDemain et Transition sont deux marques alimentaires qui aident les agriculteurs à passer à la bio !
Passer à la bio, ça ne se fait pas du jour au lendemain ! La conversion d'une exploitation agricole est une étape longue et coûteuse qui dure 2 à 3 ans. Durant cette période, l’agriculteur cultive déjà selon le cahier des charges bio mais ne bénéficie pas encore du label et de la rémunération associée.
PourDemain et Transition soutiennent activement les producteurs dans leur combat pour une agriculture plus durable en les rémunérant justement. Le prix juste est fixé en accord avec le producteur. Il valorise son travail et son engagement et lui permet d’aller jusqu’au bout de sa conversion.
PourDemain est présente en magasin bio ; Transition en grande distribution.","Agroalimentaire / Nutrition animale, Environnement / Développement durable, Grande consommation, Grande distribution",Lille,4 offres,/fr/companies/startway/jobs
Anja Paris,"Média-Start est une agence de presse et média qui vise à donner de la visibilité aux petites et moyennes entreprises en leur permettant d’accéder aux plus grands médias nationaux. À travers des contrats de partenariats noués avec les grands groupes médiatiques, Média-Start permet aux TPE et PME de gagner en visibilité et en notoriété en leur permettant de publier sur des supports de premier plan à forte visibilité.","Média, Presse écrite, Publicité",Marseille,2 offres,/fr/companies/anja-paris/jobs
Jimmy,"Depuis sa création en 2004, l’Agence Dn’D est devenue le spécialiste incontournable du E-Commerce pour les marques et grands comptes.
Qu’il s’agisse de la mise en place de plateforme E-Commerce, CRM, PIM, connexions aux SI, Dn’D а comme objectif d’apporter des solutions Open Source innovantes et de respecter les meilleures pratiques de développement.
Pour y arriver, Dn’D a constitué une équipe interne d’experts en conseil, UI/UX design et développement web évoluant dans un cadre où l’humain et le service client sont les valeurs phares de l’entreprise.
En pleine phase d'accélération, l'entreprise a déjà créé des filiales à Montpellier, Lille et Nantes. D’autres ouvertures en France et à l’étranger sont à venir. Rejoignez-nous et prenez part à cette belle aventure humaine et technologique.
Récemment labellisée HappyIndex@AtWork2021, HappyIndex@AtWork2022, HappyIndex@AtWork2023 et Tech®AtWork2022 & Tech®AtWork2023 des agences où les salariés sont les plus heureux, l'agence tient pour priorité le bien être de ses collaborateurs.","E-commerce, IT / Digital","Paris, Lille, Montpellier, Nantes",7 offres,/fr/companies/jimmy-energy/jobs
